x,y,z,real,imag,mag
20,-6,15,-1.42318e-32,0,2.02545e-64
20,-3,15,-1.00201e-32,0,1.00403e-64
20,0,15,-1.15078e-32,0,1.32429e-64
20,3,15,-2.50005e-32,0,6.25027e-64
20,6,15,1.10035e-32,0,1.21076e-64
20,9,15,1.05169e-33,0,1.10605e-66
20,12,15,-1.76126e-33,0,3.10205e-66
20,15,15,9.70558e-34,0,9.41984e-67
-18,-15,-15,4.66189e-33,0,2.17332e-65
-16,-15,-15,4.61594e-33,0,2.13069e-65
-14,-15,-15,-2.8694e-32,0,8.23346e-64
-12,-15,-15,-3.59838e-32,0,1.29483e-63
-10,-15,-15,-2.14478e-32,0,4.60007e-64
-8,-15,-15,-1.55956e-32,0,2.43223e-64
-6,-15,-15,-3.15948e-32,0,9.9823e-64
-4,-15,-15,-4.01737e-33,0,1.61392e-65
-2,-15,-15,2.66273e-32,0,7.09014e-64
0,-15,-15,-1.35227e-32,0,1.82862e-64
2,-15,-15,-1.3345e-32,0,1.78088e-64
4,-15,-15,-3.3233e-32,0,1.10443e-63
6,-15,-15,3.29641e-63,0,1.08663e-125
8,-15,-15,-1.34519e-32,0,1.80953e-64
10,-15,-15,6.90377e-34,0,4.7662e-67
12,-15,-15,1.2774e-32,0,1.63175e-64
14,-15,-15,-9.02401e-33,0,8.14328e-65
16,-15,-15,2.18747e-33,0,4.78503e-66
18,-15,-15,2.56919e-33,0,6.60073e-66
-18,-15,-12,2.99181e-32,0,8.95091e-64
-16,-15,-12,1.88763e-32,0,3.56315e-64
-14,-15,-12,5.76395e-32,0,3.32232e-63
-12,-15,-12,8.03854e-32,0,6.46182e-63
-10,-15,-12,7.6677e-32,0,5.87937e-63
-8,-15,-12,3.93686e-32,0,1.54989e-63
-6,-15,-12,1.27064e-31,0,1.61454e-62
-4,-15,-12,8.92338e-32,0,7.96267e-63
-2,-15,-12,6.40168e-32,0,4.09815e-63
0,-15,-12,1.1719e-31,0,1.37336e-62
2,-15,-12,1.19313e-31,0,1.42355e-62
4,-15,-12,7.5002e-32,0,5.6253e-63
6,-15,-12,9.23946e-32,0,8.53676e-63
8,-15,-12,5.99748e-32,0,3.59697e-63
10,-15,-12,3.1302e-32,0,9.79813e-64
12,-15,-12,4.10256e-32,0,1.6831e-63
14,-15,-12,2.3774e-32,0,5.65202e-64
16,-15,-12,1.53273e-32,0,2.34927e-64
18,-15,-12,8.86924e-33,0,7.86634e-65
-18,-15,-9,5.2347e-32,0,2.7402e-63
-16,-15,-9,5.95362e-32,0,3.54456e-63
-14,-15,-9,8.2205e-32,0,6.75766e-63
-12,-15,-9,7.42671e-32,0,5.51561e-63
-10,-15,-9,9.97509e-32,0,9.95025e-63
-8,-15,-9,1.16996e-31,0,1.36881e-62
-6,-15,-9,1.41941e-31,0,2.01474e-62
-4,-15,-9,1.34073e-31,0,1.79756e-62
-2,-15,-9,1.54896e-31,0,2.39929e-62
0,-15,-9,1.6691e-31,0,2.78588e-62
2,-15,-9,1.58427e-31,0,2.50991e-62
4,-15,-9,1.87543e-31,0,3.51722e-62
6,-15,-9,1.05952e-31,0,1.12258e-62
8,-15,-9,1.05525e-31,0,1.11355e-62
10,-15,-9,1.01687e-31,0,1.03402e-62
12,-15,-9,4.86413e-32,0,2.36597e-63
14,-15,-9,4.30027e-32,0,1.84923e-63
16,-15,-9,2.93695e-32,0,8.62566e-64
18,-15,-9,3.23773e-32,0,1.04829e-63
-18,-15,-6,9.07808e-32,0,8.24115e-63
-16,-15,-6,6.269e-32,0,3.93004e-63
-14,-15,-6,1.2888e-31,0,1.66101e-62
-12,-15,-6,1.34211e-31,0,1.80127e-62
-10,-15,-6,1.39328e-31,0,1.94122e-62
-8,-15,-6,1.87192e-31,0,3.50409e-62
-6,-15,-6,2.04315e-31,0,4.17447e-62
-4,-15,-6,2.16319e-31,0,4.67938e-62
-2,-15,-6,2.60897e-31,0,6.80673e-62
0,-15,-6,2.4568e-31,0,6.03585e-62
2,-15,-6,2.24842e-31,0,5.0554e-62
4,-15,-6,2.35146e-31,0,5.52939e-62
6,-15,-6,1.87197e-31,0,3.50428e-62
8,-15,-6,1.62615e-31,0,2.64437e-62
10,-15,-6,1.09818e-31,0,1.206e-62
12,-15,-6,9.26459e-32,0,8.58326e-63
14,-15,-6,6.8902e-32,0,4.74749e-63
16,-15,-6,4.04843e-32,0,1.63898e-63
18,-15,-6,1.75146e-32,0,3.0676e-64
-18,-15,-3,1.00309e-31,0,1.00619e-62
-16,-15,-3,1.03142e-31,0,1.06383e-62
-14,-15,-3,1.35056e-31,0,1.82401e-62
-12,-15,-3,1.67376e-31,0,2.80148e-62
-10,-15,-3,1.58047e-31,0,2.49788e-62
-8,-15,-3,2.12143e-31,0,4.50046e-62
-6,-15,-3,2.46321e-31,0,6.06741e-62
-4,-15,-3,2.637e-31,0,6.95378e-62
