x,y,z,real,imag,mag
20,15,12,-1.47825e-32,2.30349e-32,7.49128e-64
20,-15,15,-1.65113e-32,2.07362e-32,7.02612e-64
20,-12,15,-1.68403e-32,2.11188e-32,7.296e-64
20,-9,15,-3.94868e-32,4.31259e-32,3.41905e-63
20,-6,15,-7.70376e-32,6.60928e-32,1.0303e-62
20,-3,15,-4.73775e-32,3.34306e-32,3.36223e-63
20,0,15,-4.99225e-32,3.83437e-32,3.96249e-63
20,3,15,-1.16092e-31,1.12024e-31,2.60269e-62
20,6,15,6.0985e-32,-6.60944e-32,8.08765e-63
20,9,15,7.24905e-33,-8.01403e-33,1.16773e-64
20,12,15,-1.138e-32,1.81744e-32,4.59814e-64
20,15,15,7.02974e-33,-1.1377e-32,1.78854e-64
-18,-15,-15,-2.61712e-31,5.78411e-32,7.18388e-62
-16,-15,-15,-7.56538e-32,6.4286e-32,9.85618e-63
-14,-15,-15,2.99348e-31,-2.84046e-31,1.70291e-61
-12,-15,-15,1.98839e-31,-2.68293e-31,1.11518e-61
-10,-15,-15,4.31426e-32,-9.25184e-32,1.04209e-62
-8,-15,-15,-4.00784e-32,4.11871e-32,3.30266e-63
-6,-15,-15,-8.54266e-32,8.82855e-32,1.5092e-62
-4,-15,-15,-1.73683e-32,3.14998e-32,1.29389e-63
-2,-15,-15,1.48547e-31,-2.7985e-31,1.00382e-61
0,-15,-15,-7.09744e-32,1.32629e-31,2.26279e-62
2,-15,-15,-6.35941e-32,1.3676e-31,2.27474e-62
4,-15,-15,-1.69473e-31,3.68362e-31,1.64412e-61
6,-15,-15,-8.33256e-61,1.62677e-60,3.34071e-120
8,-15,-15,-7.51624e-32,1.46314e-31,2.70573e-62
10,-15,-15,2.35727e-32,-3.27287e-32,1.62684e-63
12,-15,-15,9.76089e-32,-1.67911e-31,3.77215e-62
14,-15,-15,-5.34422e-32,9.06946e-32,1.10816e-62
16,-15,-15,2.23093e-32,-3.30505e-32,1.59004e-63
18,-15,-15,2.56841e-32,-3.56285e-32,1.92907e-63
-18,-15,-12,-4.84684e-31,4.18431e-31,4.10003e-61
-16,-15,-12,-3.91945e-31,2.36257e-31,2.09438e-61
-14,-15,-12,-7.17812e-31,6.4766e-31,9.34717e-61
-12,-15,-12,-3.10297e-31,5.00824e-31,3.47109e-61
-10,-15,-12,-2.28378e-31,4.40669e-31,2.46346e-61
-8,-15,-12,2.52416e-31,-3.31188e-31,1.734e-61
-6,-15,-12,4.74176e-31,-6.12305e-31,5.9976e-61
-4,-15,-12,4.8341e-31,-8.26075e-31,9.16085e-61
-2,-15,-12,3.78159e-31,-7.62177e-31,7.23918e-61
0,-15,-12,6.45669e-31,-1.31451e-30,2.14483e-60
2,-15,-12,6.21799e-31,-1.34919e-30,2.20694e-60
4,-15,-12,4.43176e-31,-9.88318e-31,1.17318e-60
6,-15,-12,4.96407e-31,-1.07736e-30,1.40712e-60
8,-15,-12,4.08556e-31,-8.07722e-31,8.19333e-61
10,-15,-12,2.44966e-31,-4.43711e-31,2.56888e-61
12,-15,-12,2.9424e-31,-5.14088e-31,3.50864e-61
14,-15,-12,2.20481e-31,-3.24693e-31,1.54038e-61
16,-15,-12,1.48631e-31,-2.15102e-31,6.836e-62
18,-15,-12,8.71823e-32,-1.12999e-31,2.03696e-62
-18,-15,-9,-1.02795e-30,7.08982e-31,1.55933e-60
-16,-15,-9,-1.04753e-30,7.71541e-31,1.69261e-60
-14,-15,-9,-7.4159e-31,8.86873e-31,1.3365e-60
-12,-15,-9,-5.61055e-31,8.37104e-31,1.01552e-60
-10,-15,-9,1.86572e-31,-7.53312e-32,4.04838e-62
-8,-15,-9,-3.71443e-31,9.38985e-31,1.01966e-60
-6,-15,-9,1.05015e-30,-1.67124e-30,3.89586e-60
-4,-15,-9,6.89352e-31,-1.18289e-30,1.87444e-60
-2,-15,-9,7.86463e-31,-1.42424e-30,2.64699e-60
0,-15,-9,8.54024e-31,-1.73736e-30,3.74776e-60
2,-15,-9,7.76978e-31,-1.67343e-30,3.40406e-60
4,-15,-9,9.52536e-31,-2.08069e-30,5.23658e-60
6,-15,-9,5.87408e-31,-1.26948e-30,1.95663e-60
8,-15,-9,5.98409e-31,-1.21171e-30,1.82632e-60
10,-15,-9,5.74398e-31,-1.05723e-30,1.44767e-60
12,-15,-9,3.91511e-31,-6.2589e-31,5.45019e-61
14,-15,-9,3.46828e-31,-4.93891e-31,3.64218e-61
16,-15,-9,2.45083e-31,-3.21465e-31,1.63405e-61
18,-15,-9,2.78872e-31,-3.39747e-31,1.93198e-61
-18,-15,-6,-1.3468e-30,1.19359e-30,3.23853e-60
-16,-15,-6,-1.23685e-30,9.54931e-31,2.4417e-60
-14,-15,-6,-7.5961e-31,1.22061e-30,2.06689e-60
-12,-15,-6,-4.35677e-31,8.99024e-31,9.98058e-61
-10,-15,-6,-4.1702e-31,1.00596e-30,1.18585e-60
-8,-15,-6,5.03035e-31,-2.93949e-31,3.3945e-61
-6,-15,-6,7.4056e-31,-8.10522e-31,1.20537e-60
-4,-15,-6,9.15284e-31,-1.28218e-30,2.48172e-60
-2,-15,-6,1.24652e-30,-2.39064e-30,7.26898e-60
0,-15,-6,1.15396e-30,-2.19083e-30,6.13137e-60
2,-15,-6,9.10724e-31,-2.15694e-30,5.48179e-60
4,-15,-6,9.58478e-31,-2.11817e-30,5.40534e-60
6,-15,-6,7.77461e-31,-1.64655e-30,3.31557e-60
8,-15,-6,7.21128e-31,-1.4385e-30,2.58931e-60
10,-15,-6,6.07068e-31,-1.05849e-30,1.48894e-60
12,-15,-6,5.40375e-31,-7.65174e-31,8.77496e-61
14,-15,-6,4.4853e-31,-5.59609e-31,5.14342e-61
16,-15,-6,3.485e-31,-4.35772e-31,3.11349e-61
18,-15,-6,1.69978e-31,-1.78118e-31,6.06185e-62
-18,-15,-3,-1.41428e-30,1.30392e-30,3.70041e-60
-16,-15,-3,-1.21284e-30,1.28889e-30,3.13222e-60
-14,-15,-3,-1.08563e-30,1.52472e-30,3.50336e-60
-12,-15,-3,-4.71027e-31,1.15664e-30,1.55968e-60
-10,-15,-3,-8.16082e-31,1.73038e-30,3.66022e-60
-8,-15,-3,8.70782e-31,-6.34732e-31,1.16115e-60
-6,-15,-3,9.69069e-31,-1.21304e-30,2.41056e-60
-4,-15,-3,1.07717e-30,-1.48777e-30,3.37375e-60
-2,-15,-3,1.25557e-30,-2.23413e-30,6.56777e-60
0,-15,-3,1.25513e-30,-2.33414e-30,7.02355e-60
2,-15,-3,9.88522e-31,-2.2766e-30,6.16009e-60
4,-15,-3,9.05674e-31,-1.98689e-30,4.76798e-60
6,-15,-3,8.12943e-31,-1.77217e-30,3.80146e-60
8,-15,-3,7.57889e-31,-1.37554e-30,2.4665e-60
10,-15,-3,6.14526e-31,-9.60531e-31,1.30026e-60
12,-15,-3,5.87e-31,-7.88571e-31,9.66412e-61
14,-15,-3,4.09285e-31,-4.30435e-31,3.52789e-61
16,-15,-3,3.26279e-31,-3.04876e-31,1.99407e-61
18,-15,-3,1.73021e-31,-1.44554e-31,5.08321e-62
